Summary Levels for 5-Year ACS Data Products,,,,,,,,,,,,
"Summary
Level
 Code","Geographic Component
 Code",Summary Level Description,Detailed Tables,"Data
Profiles",Comparison Profiles,Non-Iterated Selected Population Profiles,"Subject
Tables",,,,,
010,00,United States,√,√,√,√,√,,,,,
010,01,United States; Urban,√,√,,,√,,,,,
010,43,United States; Rural,√,√,,,√,,,,,
010,A0,United States; In Metropolitan or Micropolitan Statistical Area,√,√,,,√,,,,,
010,G0,United States; Not In Metropolitan or Micropolitan Statistical Area,√,√,,,√,,,,,
010,C0,United States; In Metropolitan Statistical Area,√,√,,,√,,,,,
010,C1,United States; In Metropolitan Statistical Area-In Principal City,√,√,,,√,,,,,
010,C2,United States; In Metropolitan Statistical Area-Not In Principal City,√,√,,,√,,,,,
010,H0,United States; Not In Metropolitan Statistical Area,√,√,,,√,,,,,
010,E0,United States; In Micropolitan Statistical Area,√,√,,,√,,,,,
010,E1,United States; In Micropolitan Statistical Area-In Principal City,√,√,,,√,,,,,
010,E2,United States; In Micropolitan Statistical Area-Not In Principal City,√,√,,,√,,,,,
010,89,United States; American Indian Reservation and Trust Land-Federal,√,√,,,√,,,,,
010,90,United States; American Indian Reservation and Trust Land-State,√,√,,,√,,,,,
010,91,United States; Oklahoma Tribal Statistical Area,√,√,,,√,,,,,
010,92,United States; Tribal Designated Statistical Area,√,√,,,√,,,,,
010,93,United States; Alaska Native Village Statistical Area,√,√,,,√,,,,,
010,94,United States; State Designated Tribal Statistical Area (Formerly SDAISA),√,√,,,√,,,,,
010,95,United States; Hawaiian Home Land,√,√,,,√,,,,,
020,00,Region,√,√,,√,√,,,,,
020,01,Region; Urban,√,√,,,√,,,,,
020,43,Region; Rural,√,√,,,√,,,,,
020,A0,Region; In Metropolitan or Micropolitan Statistical Area,√,√,,,√,,,,,
020,G0,Region; Not In Metropolitan or Micropolitan Statistical Area,√,√,,,√,,,,,
020,C0,Region; In Metropolitan Statistical Area,√,√,,,√,,,,,
020,C1,Region; In Metropolitan Statistical Area-In Principal City,√,√,,,√,,,,,
020,C2,Region; In Metropolitan Statistical Area-Not In Principal City,√,√,,,√,,,,,
020,H0,Region; Not In Metropolitan Statistical Area,√,√,,,√,,,,,
020,E0,Region; In Micropolitan Statistical Area,√,√,,,√,,,,,
020,E1,Region; In Micropolitan Statistical Area-In Principal City,√,√,,,√,,,,,
020,E2,Region; In Micropolitan Statistical Area-Not In Principal City,√,√,,,√,,,,,
030,00,Division,√,√,,√,√,,,,,
030,01,Division; Urban,√,√,,,√,,,,,
